game_id,date,season,start_time_utc,game_state,game_type,venue,attendance,home_team_code,away_team_code,home_team_name,away_team_name,home_team,away_team,home_score,away_score,home_penalties,away_penalties,first_goal,home_comeback,away_comeback,overtime,shootout,home_shots,away_shots
2023010007,2023-09-24,20232024,2023-09-24T18:00:00Z,FINAL,1,Canadian Tire Centre,,OTT,TOR,Senators,Maple Leafs,OTT,TOR,3,2,8,4,home,False,False,False,False,32,38
2023010019,2023-09-25,20232024,2023-09-25T23:00:00Z,FINAL,1,Scotiabank Arena,,TOR,OTT,Maple Leafs,Senators,TOR,OTT,3,4,7,8,away,False,False,True,False,39,39
2023010032,2023-09-27,20232024,2023-09-27T22:30:00Z,FINAL,1,Joe Thornton Community Centre,,TOR,BUF,Maple Leafs,Sabres,TOR,BUF,5,2,2,4,home,False,False,False,False,40,15
2023010051,2023-09-29,20232024,2023-09-29T23:00:00Z,FINAL,1,Centre Bell,,MTL,TOR,Canadiens,Maple Leafs,MTL,TOR,1,2,4,10,away,False,False,False,False,25,26
2023010061,2023-09-30,20232024,2023-09-30T23:00:00Z,FINAL,1,Centre Bell,,MTL,TOR,Canadiens,Maple Leafs,MTL,TOR,1,3,7,7,away,False,False,False,False,34,22
2023010071,2023-10-02,20232024,2023-10-02T23:00:00Z,FINAL,1,Scotiabank Arena,,TOR,MTL,Maple Leafs,Canadiens,TOR,MTL,4,5,7,10,away,False,True,True,False,29,26
2023010098,2023-10-05,20232024,2023-10-05T23:00:00Z,FINAL,1,Scotiabank Arena,,TOR,DET,Maple Leafs,Red Wings,TOR,DET,4,3,9,8,home,False,False,True,False,38,23
2023010110,2023-10-07,20232024,2023-10-07T23:00:00Z,FINAL,1,Little Caesars Arena,,DET,TOR,Red Wings,Maple Leafs,DET,TOR,4,3,7,6,away,True,False,False,False,32,24
2023020005,2023-10-11,20232024,2023-10-11T23:00:00Z,OFF,2,Scotiabank Arena,,TOR,MTL,Maple Leafs,Canadiens,TOR,MTL,6,5,10,9,away,True,False,True,False,42,24
2023020026,2023-10-14,20232024,2023-10-14T23:00:00Z,OFF,2,Scotiabank Arena,,TOR,MIN,Maple Leafs,Wild,TOR,MIN,7,4,4,6,away,False,False,False,False,33,32
2023020038,2023-10-16,20232024,2023-10-16T23:00:00Z,OFF,2,Scotiabank Arena,,TOR,CHI,Maple Leafs,Blackhawks,TOR,CHI,1,4,6,5,away,False,False,False,False,36,31
2023020052,2023-10-19,20232024,2023-10-19T23:00:00Z,OFF,2,Amerant Bank Arena,,FLA,TOR,Panthers,Maple Leafs,FLA,TOR,3,1,10,8,home,False,False,False,False,24,30
2023020070,2023-10-21,20232024,2023-10-21T23:00:00Z,OFF,2,Amalie Arena,,TBL,TOR,Lightning,Maple Leafs,TBL,TOR,3,4,2,5,away,False,True,True,False,31,52
2023020083,2023-10-24,20232024,2023-10-24T22:00:00Z,OFF,2,Capital One Arena,,WSH,TOR,Capitals,Maple Leafs,WSH,TOR,1,4,4,6,away,False,False,False,False,38,17
2023020108,2023-10-26,20232024,2023-10-27T00:00:00Z,OFF,2,American Airlines Center,,DAL,TOR,Stars,Maple Leafs,DAL,TOR,1,4,4,2,away,False,False,False,False,32,24
2023020122,2023-10-28,20232024,2023-10-28T23:00:00Z,OFF,2,Bridgestone Arena,,NSH,TOR,Predators,Maple Leafs,NSH,TOR,3,2,5,6,away,False,False,True,False,24,35
2023020139,2023-10-31,20232024,2023-11-01T00:00:00Z,OFF,2,Scotiabank Arena,,TOR,LAK,Maple Leafs,Kings,TOR,LAK,1,4,8,8,away,False,False,False,False,30,27
2023020145,2023-11-02,20232024,2023-11-02T23:30:00Z,OFF,2,TD Garden,,BOS,TOR,Bruins,Maple Leafs,BOS,TOR,3,2,3,3,home,False,False,True,False,40,35
2023020165,2023-11-04,20232024,2023-11-04T23:00:00Z,OFF,2,Scotiabank Arena,,TOR,BUF,Maple Leafs,Sabres,TOR,BUF,4,6,4,5,home,False,False,False,False,28,41
2023020177,2023-11-06,20232024,2023-11-07T00:00:00Z,OFF,2,Scotiabank Arena,,TOR,TBL,Maple Leafs,Lightning,TOR,TBL,6,5,5,4,home,True,False,True,False,34,31
2023020190,2023-11-08,20232024,2023-11-09T00:00:00Z,OFF,2,Scotiabank Arena,,TOR,OTT,Maple Leafs,Senators,TOR,OTT,3,6,6,5,home,False,False,False,False,30,31
2023020207,2023-11-10,20232024,2023-11-11T00:00:00Z,OFF,2,Scotiabank Arena,,TOR,CGY,Maple Leafs,Flames,TOR,CGY,5,4,4,2,home,False,False,True,False,36,28
2023020215,2023-11-11,20232024,2023-11-12T00:00:00Z,OFF,2,Scotiabank Arena,,TOR,VAN,Maple Leafs,Canucks,TOR,VAN,5,2,12,5,away,False,False,False,False,22,33
