team1,team2,team1code,team2code,description
Boston Bruins,Montreal Canadiens,BOS,MTL,Original Six rivalry
New York Rangers,New York Islanders,NYR,NYI,Battle of New York
Philadelphia Flyers,Pittsburgh Penguins,PHI,PIT,Battle of Pennsylvania
Toronto Maple Leafs,Montreal Canadiens,TOR,MTL,Original Six rivalry
Toronto Maple Leafs,Ottawa Senators,TOR,OTT,Battle of Ontario
Toronto Maple Leafs,Detroit Red Wings,TOR,DET,Original Six rivalry
Toronto Maple Leafs,Boston Bruins,TOR,BOS,Original Six rivalry
Detroit Red Wings,Chicago Blackhawks,DET,CHI,Original Six rivalry
Calgary Flames,Edmonton Oilers,CGY,EDM,Battle of Alberta
Vancouver Canucks,Edmonton Oilers,VAN,EDM,Western Canadian rivalry
Vancouver Canucks,Calgary Flames,VAN,CGY,Western Canadian rivalry
Boston Bruins,New York Rangers,BOS,NYR,Original Six rivalry
Pittsburgh Penguins,Washington Capitals,PIT,WSH,Metropolitan Division rivalry
Tampa Bay Lightning,Florida Panthers,TBL,FLA,Battle of Florida
Colorado Avalanche,Detroit Red Wings,COL,DET,1990s-2000s playoff battles
Los Angeles Kings,San Jose Sharks,LAK,SJS,California rivalry
Los Angeles Kings,Edmonton Oilers,LAK,EDM,Pacific Division rivalry
St. Louis Blues,Chicago Blackhawks,STL,CHI,Central Division rivalry
Vegas Golden Knights,Los Angeles Kings,VGK,LAK,Pacific Division rivalry
Seattle Kraken,Vancouver Canucks,SEA,VAN,Pacific Northwest rivalry
New Jersey Devils,New York Rangers,NJD,NYR,Battle of the Hudson River
Buffalo Sabres,Toronto Maple Leafs,BUF,TOR,Battle of the QEW
