Team,Color Name,Hex Code
Anaheim Ducks,Orange,#CF4520
Anaheim Ducks,Black,#000000
Anaheim Ducks,Gold,#89734C
Anaheim Ducks,White,#FFFFFF
Arizona Coyotes,Process Black,#010101
Arizona Coyotes,Brick Red,#6F263D
Arizona Coyotes,Forest Green,#154734
Arizona Coyotes,Sand,#DDCBA4
Arizona Coyotes,Sienna,#A9431E
Arizona Coyotes,Purple,#5F259F
Boston Bruins,Black,#000000
Boston Bruins,Gold,#FFB81C
Boston Bruins,White,#FFFFFF
Buffalo Sabres,Royal Blue,#003087
Buffalo Sabres,Gold,#FFB81C
Buffalo Sabres,White,#FFFFFF
Buffalo Sabres,Red,#C8102E
Buffalo Sabres,Black,#000000
Buffalo Sabres,Silver,#8D9093
Calgary Flames,Red,#C8102E
Calgary Flames,Gold,#F1BE48
Calgary Flames,White,#FFFFFF
Calgary Flames,Black,#000000
Carolina Hurricanes,Black,#000000
Carolina Hurricanes,Red,#C8102E
Carolina Hurricanes,White,#FFFFFF
Carolina Hurricanes,Silver,#A2AAAD
Carolina Hurricanes,Storm Gray,#333F48
Chicago Blackhawks,Red,#C8102E
Chicago Blackhawks,Black,#000000
Chicago Blackhawks,White,#FFFFFF
Chicago Blackhawks,Gold,#CC8A00
Chicago Blackhawks,Green,#00843D
Chicago Blackhawks,Yellow,#FFD100
Chicago Blackhawks,Blue,#001871
Chicago Blackhawks,Orange,#FF671F
Colorado Avalanche,Burgundy,#6F263D
Colorado Avalanche,Silver,#A2AAAD
Colorado Avalanche,Blue,#236192
Colorado Avalanche,Black,#000000
Colorado Avalanche,White,#FFFFFF
Colorado Avalanche,Navy,#041E42
Columbus Blue Jackets,Union Blue,#041E42
Columbus Blue Jackets,Goal Red,#C8102E
Columbus Blue Jackets,Capital Silver,#A2AAAD
Columbus Blue Jackets,White,#FFFFFF
Columbus Blue Jackets,Light Blue,#236192
Dallas Stars,Victory Green,#00843D
Dallas Stars,Silver,#A2AAAD
Dallas Stars,Black,#000000
Dallas Stars,White,#FFFFFF
Dallas Stars,Skyline Green,#44D62C
Detroit Red Wings,Red,#C8102E
Detroit Red Wings,White,#FFFFFF
Edmonton Oilers,Royal Blue,#00205B
Edmonton Oilers,Orange,#CF4520
Edmonton Oilers,White,#FFFFFF
Edmonton Oilers,Navy,#041E42
Edmonton Oilers,Orange Alt,#FC4C02
Florida Panthers,Red,#C8102E
Florida Panthers,Blue,#041E42
Florida Panthers,Gold,#B9975B
Florida Panthers,White,#FFFFFF
Los Angeles Kings,Black,#000000
Los Angeles Kings,Silver,#A2AAAD
Los Angeles Kings,White,#FFFFFF
Minnesota Wild,Forest Green,#154734
Minnesota Wild,Iron Range Red,#A6192E
Minnesota Wild,Harvest Gold,#EAAA00
Minnesota Wild,Minnesota Wheat,#DDCBA4
Minnesota Wild,White,#FFFFFF
Minnesota Wild,Green Alt,#007A33
Minnesota Wild,Gold Alt,#FFB81C
Montreal Canadiens,Rouge,#A6192E
Montreal Canadiens,Blanc,#FFFFFF
Montreal Canadiens,Bleu,#001E62
Nashville Predators,Gold,#FFB81C
Nashville Predators,Navy,#041E42
Nashville Predators,White,#FFFFFF
New Jersey Devils,Red,#C8102E
New Jersey Devils,Black,#000000
New Jersey Devils,White,#FFFFFF
New York Islanders,Royal Blue,#003087
New York Islanders,Orange,#FC4C02
New York Islanders,White,#FFFFFF
New York Rangers,Blue,#0033A0
New York Rangers,Red,#C8102E
New York Rangers,White,#FFFFFF
New York Rangers,Navy,#041E42
Ottawa Senators,Black,#000000
Ottawa Senators,Red,#C8102E
Ottawa Senators,Gold,#B9975B
Ottawa Senators,White,#FFFFFF
Philadelphia Flyers,Burnt Orange,#CF4520
Philadelphia Flyers,Black,#000000
Philadelphia Flyers,White,#FFFFFF
Philadelphia Flyers,Orange Alt,#FA4616
Pittsburgh Penguins,Black,#000000
Pittsburgh Penguins,Pittsburgh Gold,#FFB81C
Pittsburgh Penguins,White,#FFFFFF
San Jose Sharks,Deep Pacific Teal,#006272
San Jose Sharks,Burnt Orange,#E57200
San Jose Sharks,Black,#000000
San Jose Sharks,White,#FFFFFF
Seattle Kraken,Deep Sea Blue,#051C2C
Seattle Kraken,Ice Blue,#9CDBD9
Seattle Kraken,Shadow Blue,#6BA4B8
Seattle Kraken,Boundless Blue,#425563
Seattle Kraken,Red Alert,#C8102E
Seattle Kraken,White,#FFFFFF
St. Louis Blues,Blue,#003087
St. Louis Blues,Gold,#FFB81C
St. Louis Blues,Navy Blue,#041E42
St. Louis Blues,White,#FFFFFF
St. Louis Blues,Heritage Blue,#0072CE
Tampa Bay Lightning,Blue,#00205B
Tampa Bay Lightning,White,#FFFFFF
Tampa Bay Lightning,Black,#000000
Tampa Bay Lightning,Silver,#A2AAAD
Toronto Maple Leafs,Blue,#00205B
Toronto Maple Leafs,White,#FFFFFF
Toronto Maple Leafs,Black,#000000
Utah,Rock Black,#000000
Utah,Mountain Blue,#6CACE4
Utah,Salt White,#FFFFFF
Vancouver Canucks,Blue,#00205B
Vancouver Canucks,White,#FFFFFF
Vancouver Canucks,Green,#00843D
Vancouver Canucks,Navy,#051C2C
Vancouver Canucks,Silver,#97999B
Vancouver Canucks,Pacific Salmon Red,#D22730
Vancouver Canucks,Yellow,#F3E600
Vegas Golden Knights,Metallic Gold,#C69214
Vegas Golden Knights,Steel Grey,#333F48
Vegas Golden Knights,Red,#C8102E
Vegas Golden Knights,Black,#000000
Vegas Golden Knights,White,#FFFFFF
Vegas Golden Knights,Flat Gold,#B9975B
Washington Capitals,Red,#C8102E
Washington Capitals,Navy Blue,#041E42
Washington Capitals,White,#FFFFFF
Winnipeg Jets,Polar Night Blue,#041E42
Winnipeg Jets,Aviator Blue,#004C97
Winnipeg Jets,Silver,#A2AAAD
Winnipeg Jets,White,#FFFFFF
Winnipeg Jets,Grey,#53565A
Winnipeg Jets,Red,#A6192E
Winnipeg Jets,Dark Red,#782F40
